PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
11,2/22/2020,12:18:50 PM,2,3,"Parks, Evan",1000084165,Right,ROA_COL,"Thompson, JT",1000084303,Left,ELI_BLU,Windup,2,Top,0,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.81167112,-1.489962504,-3.475703964,2068.589535,221.1864464,1:15,5.732431835,1.29092322,5.110994447,-18.88034476,23.28633099,20.41060466,2.752629074,-0.286310871,74.13485772,-5.041639409,0.370455571,0.467365016,,,,,,,,,,,,-12.0856986,12.86858492,-0.978810313,50,5.57794271,6.679341716,-121.2998737,-3.797361471,-17.4383267,30.69976879,-13.60610345,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,5f1527ab-5597-11ea-b030-484d7ee4b65b
12,2/22/2020,12:19:13 PM,3,1,"Parks, Evan",1000084165,Right,ROA_COL,"Bertucio, Robbie",1000084301,Right,ELI_BLU,Windup,2,Top,0,0,0,Undefined,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,83.93936237,-1.081800789,-2.543714479,2024.532021,228.8751659,1:45,5.592718165,1.173617713,5.14981346,-24.09315442,17.3474718,19.91301507,2.565511777,0.437018337,75.26672305,-5.58473668,1.190807952,0.463323868,89.67483789,-2.734261426,-28.72449559,,,,,32.85325768,30.09853932,-28.43763918,0.243609009,-11.36831765,9.522278396,-0.950715463,50,5.473704968,4.731801813,-121.7291427,-3.118887644,-16.7186642,28.32653658,-18.17023728,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,72cd0cd6-5597-11ea-b030-484d7ee4b65b
13,2/22/2020,12:20:22 PM,1,1,"Sipling, Eric",1000084319,Right,ELI_BLU,"Merriken, Will",1000084158,Right,ROA_COL,Windup,2,Bottom,0,0,0,Undefined,Curveball,InPlay,Undefined,Undefined,Undefined,0,0,,70.87996463,2.163442773,-2.023194455,1871.514243,16.69232515,6:30,6.358035905,2.213543435,5.21218522,-63.54913187,-6.079425096,-1.806824122,3.098643011,0.15991786,64.81552858,-9.611232002,-2.360370486,0.545620914,,,,,,,,,,,,0.332858695,-3.872417611,-2.025421467,50,6.511344527,3.685567068,-102.8647237,2.06791619,0.353114907,18.63846449,-36.28212326,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,99b9b588-5597-11ea-b030-484d7ee4b65b
14,2/22/2020,12:21:17 PM,1,2,"Sipling, Eric",1000084319,Right,ELI_BLU,"Merriken, Will",1000084158,Right,ROA_COL,Windup,2,Bottom,0,0,0,Undefined,Fastball,InPlay,Undefined,Popup,Error,0,0,,81.52517159,-1.830506352,-3.586689352,1943.975532,218.0108457,1:15,6.554379684,1.818516067,5.413760032,-23.06372451,19.66545162,15.40173078,2.913797815,-0.262092231,74.66432787,-6.110597629,-0.720090987,0.470471996,81.31178003,66.78097923,14.26935921,5120.874686,100.4549021,29.44636441,44.81972767,114.9426591,47.9669705,23.63629079,5.789956665,-9.136045054,10.91846228,-1.51033169,50,6.375592638,6.920521303,-118.3289132,-4.532627918,-12.98250598,22.10177078,-16.65869142,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,bd7e06e4-5597-11ea-b030-484d7ee4b65b
15,2/22/2020,12:22:00 PM,2,1,"Sipling, Eric",1000084319,Right,ELI_BLU,"Watson, Sam",1000084151,Left,ROA_COL,Windup,2,Bottom,0,0,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.12285985,-1.162677079,-2.766631793,1997.22355,220.9555417,1:15,6.516521864,1.992087151,5.449209066,-24.00202693,18.44760043,16.04578108,3.426560538,0.737398882,74.31819427,-5.651877865,0.243648529,0.468930477,,,,,,,,,,,,-9.395569738,10.17856296,-1.758828285,50,6.39771349,5.248247795,-119.2192294,-3.189711037,-13.37896673,25.19040876,-17.68012653,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,d614ffd1-5597-11ea-b030-484d7ee4b65b
16,2/22/2020,12:22:19 PM,2,2,"Sipling, Eric",1000084319,Right,ELI_BLU,"Watson, Sam",1000084151,Left,ROA_COL,Windup,2,Bottom,0,0,1,Undefined,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,76.23423362,-2.8898366,-4.458572601,1743.984112,240.5063271,2:00,6.01780546,2.134989022,5.920147246,-38.28657107,10.21311081,18.1368838,0.135435583,-0.498962126,69.80510721,-10.03198669,-1.039507566,0.501234509,,,,,,,,,,,,-11.14463042,6.390874928,-1.788139161,50,5.764253219,8.116324848,-110.4623891,-6.641997757,-13.67004804,21.01051744,-24.33497592,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,e1340b10-5597-11ea-b030-484d7ee4b65b
17,2/22/2020,12:22:58 PM,2,3,"Sipling, Eric",1000084319,Right,ELI_BLU,"Watson, Sam",1000084151,Left,ROA_COL,Windup,2,Bottom,0,1,1,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,83.57618756,-3.378270881,-3.41956661,2026.053802,211.8988989,1:00,6.618771121,1.911619958,5.44329878,-17.80070946,23.44880961,14.61911302,1.963339772,-0.075308993,75.47507051,-6.702056533,-0.676436451,0.462254304,61.4993382,36.01841699,-147.1818213,3445.992198,-95.53124228,26.7607276,-54.53187526,152.2263338,65.80679885,-151.270514,2.530431519,-8.861588594,13.5516948,-1.619323214,50,6.307734472,6.758914714,-121.0486532,-7.735676042,-12.98166809,26.42455953,-12.32167085,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,f94319b6-5597-11ea-b030-484d7ee4b65b
18,2/22/2020,12:23:39 PM,2,4,"Sipling, Eric",1000084319,Right,ELI_BLU,"Watson, Sam",1000084151,Left,ROA_COL,Windup,2,Bottom,0,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,83.4108035,-1.365499505,-3.278025045,1995.590148,218.6942151,1:15,6.349866831,2.057811575,5.30265297,-20.89273636,20.4617033,16.42066813,3.324735772,0.345921056,75.51801828,-5.261429317,-0.209866931,0.462841816,,,,,,,,,,,,-9.684631862,11.24367716,-1.771812175,50,6.210916721,6.384597862,-121.0101241,-3.584244061,-14.23667026,25.5133603,-15.64553964,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,0df7c0bd-5598-11ea-b030-484d7ee4b65b
19,2/22/2020,12:24:05 PM,2,5,"Sipling, Eric",1000084319,Right,ELI_BLU,"Watson, Sam",1000084151,Left,ROA_COL,Windup,2,Bottom,0,1,2,Undefined,ChangeUp,InPlay,Undefined,GroundBall,Single,0,0,,77.89737641,-1.546118749,-3.8729104,1798.58541,239.7302113,2:00,6.029807982,2.036913428,6.15221355,-34.59171995,11.79042647,20.27606152,1.715208765,0.143245057,70.26245446,-8.100989999,-0.007056429,0.490170239,87.2894701,4.134476874,10.77282025,816.3706933,,,,72.52371248,70.01701098,10.4913098,0.586246948,-12.38874723,6.967819323,-1.752899113,50,5.894575412,7.112046194,-113.0150841,-3.976749574,-15.71177453,24.32584788,-23.33725464,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,1fd9eb75-5598-11ea-b030-484d7ee4b65b
20,2/22/2020,12:24:47 PM,3,1,"Sipling, Eric",1000084319,Right,ELI_BLU,"Salva, Will",1000084162,Right,ROA_COL,Windup,2,Bottom,0,0,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,83.15291243,-1.180045939,-3.99179236,2013.023069,227.0437378,1:30,6.362537631,1.917445293,5.45694021,-24.15620886,17.32241562,18.64635531,3.242205347,-0.270894891,75.19961769,-5.698585526,-0.497972589,0.463536237,63.69820243,55.86696359,127.8081306,5211.489822,-86.40396421,60.06911276,68.07599,155.2553646,79.79131895,144.4065498,3.862033081,-11.15510484,9.585168591,-1.578067251,50,6.242158286,7.811240412,-120.5675506,-3.269848167,-16.2538962,25.65575708,-18.20767732,ROA_COL,ELI_BLU,LewisGale,D3,AL,20200222-LewisGale-1,3aad281b-5598-11ea-b030-484d7ee4b65b
